date_time,South,tempF,windspeedMiles,precipMM,humidity,visibilityMiles,pressureInches,cloudcover,HeatIndexF,DewPointF,WindChillF,WindGustMiles,FeelsLikeF,uvIndex
6/13/21 12:00,,88,11,0,58,6,30,2,94,71,88,14,94,8
6/13/21 13:00,,88,11,0,58,6,30,2,94,71,88,14,94,8
6/13/21 14:00,,81,10,0,75,6,30,3,86,72,81,16,86,1
6/13/21 15:00,,81,10,0,75,6,30,3,86,72,81,16,86,1
6/13/21 16:00,,81,10,0,75,6,30,3,86,72,81,16,86,1
6/13/21 17:00,,77,8,0,85,6,30,4,82,72,77,15,82,1
6/13/21 18:00,,77,8,0,85,6,30,4,82,72,77,15,82,1
6/13/21 19:00,,77,8,0,85,6,30,4,82,72,77,15,82,1
6/13/21 20:00,,75,6,0,91,6,30,10,80,73,75,12,80,1
6/13/21 21:00,,75,6,0,91,6,30,10,80,73,75,12,80,1
6/13/21 22:00,,75,6,0,91,6,30,10,80,73,75,12,80,1
6/13/21 23:00,,74,6,0,95,2,30,21,79,73,74,11,79,1
6/14/21 0:00,,74,6,0,95,2,30,21,79,73,74,11,79,1
6/14/21 1:00,,74,6,0,95,2,30,21,79,73,74,11,79,1
6/14/21 2:00,,81,4,0,75,4,30,15,86,72,81,6,86,6
6/14/21 3:00,,81,4,0,75,4,30,15,86,72,81,6,86,6
6/14/21 4:00,,81,4,0,75,4,30,15,86,72,81,6,86,6
6/14/21 5:00,,90,4,0,52,6,30,11,95,69,90,5,95,8
6/14/21 6:00,,90,4,0,52,6,30,11,95,69,90,5,95,8
6/14/21 7:00,,90,4,0,52,6,30,11,95,69,90,5,95,8
6/14/21 8:00,,93,6,0.1,46,6,30,53,100,69,93,8,100,8
6/14/21 9:00,,93,6,0.1,46,6,30,53,100,69,93,8,100,8
6/14/21 10:00,,93,6,0.1,46,6,30,53,100,69,93,8,100,8
6/14/21 11:00,,89,10,0,54,6,30,54,95,70,89,14,95,7
6/14/21 12:00,,89,10,0,54,6,30,54,95,70,89,14,95,7
6/14/21 13:00,,89,10,0,54,6,30,54,95,70,89,14,95,7
6/14/21 14:00,,83,10,0,67,6,30,26,87,70,83,16,87,1
6/14/21 15:00,,83,10,0,67,6,30,26,87,70,83,16,87,1
6/14/21 16:00,,83,10,0,67,6,30,26,87,70,83,16,87,1
6/14/21 17:00,,78,6,0,80,6,30,16,83,72,78,12,83,1
6/14/21 18:00,,78,6,0,80,6,30,16,83,72,78,12,83,1
6/14/21 19:00,,78,6,0,80,6,30,16,83,72,78,12,83,1
6/14/21 20:00,,77,5,0.5,87,5,30,52,81,73,77,10,81,1
6/14/21 21:00,,77,5,0.5,87,5,30,52,81,73,77,10,81,1
6/14/21 22:00,,77,5,0.5,87,5,30,52,81,73,77,10,81,1
6/14/21 23:00,,76,5,0.6,87,5,30,70,80,72,76,9,80,1
6/15/21 0:00,,76,5,0.6,87,5,30,70,80,72,76,9,80,1
6/15/21 1:00,,76,5,0.6,87,5,30,70,80,72,76,9,80,1
6/15/21 2:00,,81,4,0.2,72,6,30,31,86,71,81,6,86,6
6/15/21 3:00,,81,4,0.2,72,6,30,31,86,71,81,6,86,6
6/15/21 4:00,,81,4,0.2,72,6,30,31,86,71,81,6,86,6
6/15/21 5:00,,89,4,0,55,6,30,11,95,70,89,5,95,8
6/15/21 6:00,,89,4,0,55,6,30,11,95,70,89,5,95,8
6/15/21 7:00,,89,4,0,55,6,30,11,95,70,89,5,95,8
6/15/21 8:00,,92,8,0,49,5,30,34,100,70,92,9,100,8
6/15/21 9:00,,92,8,0,49,5,30,34,100,70,92,9,100,8
6/15/21 10:00,,92,8,0,49,5,30,34,100,70,92,9,100,8
6/15/21 11:00,,88,11,0.7,58,5,30,67,94,71,88,14,94,7
6/15/21 12:00,,88,11,0.7,58,5,30,67,94,71,88,14,94,7
6/15/21 13:00,,88,11,0.7,58,5,30,67,94,71,88,14,94,7
6/15/21 14:00,,81,9,0.5,74,5,30,85,86,72,81,15,86,1
6/15/21 15:00,,81,9,0.5,74,5,30,85,86,72,81,15,86,1
6/15/21 16:00,,81,9,0.5,74,5,30,85,86,72,81,15,86,1
6/15/21 17:00,,79,6,0.2,83,6,30,88,83,73,79,12,83,1
6/15/21 18:00,,79,6,0.2,83,6,30,88,83,73,79,12,83,1
6/15/21 19:00,,79,6,0.2,83,6,30,88,83,73,79,12,83,1
6/15/21 20:00,,76,4,0.1,88,6,30,32,81,73,76,8,81,1
6/15/21 21:00,,76,4,0.1,88,6,30,32,81,73,76,8,81,1
6/15/21 22:00,,76,4,0.1,88,6,30,32,81,73,76,8,81,1
6/15/21 23:00,,76,2,0,91,6,30,4,81,73,76,3,81,1
6/16/21 0:00,,76,2,0,91,6,30,4,81,73,76,3,81,1
6/16/21 1:00,,76,2,0,91,6,30,4,81,73,76,3,81,1
6/16/21 2:00,,82,2,0,74,6,30,27,87,72,82,3,87,7
6/16/21 3:00,,82,2,0,74,6,30,27,87,72,82,3,87,7
6/16/21 4:00,,82,2,0,74,6,30,27,87,72,82,3,87,7
6/16/21 5:00,,89,6,0,56,6,30,14,95,71,89,8,95,8
6/16/21 6:00,,89,6,0,56,6,30,14,95,71,89,8,95,8
6/16/21 7:00,,89,6,0,56,6,30,14,95,71,89,8,95,8
6/16/21 8:00,,91,11,0,51,6,30,4,97,70,91,13,97,8
6/16/21 9:00,,91,11,0,51,6,30,4,97,70,91,13,97,8
6/16/21 10:00,,91,11,0,51,6,30,4,97,70,91,13,97,8
6/16/21 11:00,,87,12,0,59,6,30,1,94,71,87,16,94,8
6/16/21 12:00,,87,12,0,59,6,30,1,94,71,87,16,94,8
6/16/21 13:00,,87,12,0,59,6,30,1,94,71,87,16,94,8
6/16/21 14:00,,82,9,0,75,6,30,2,87,73,82,14,87,1
6/16/21 15:00,,82,9,0,75,6,30,2,87,73,82,14,87,1
6/16/21 16:00,,82,9,0,75,6,30,2,87,73,82,14,87,1
6/16/21 17:00,,78,7,0,84,6,30,4,83,73,78,12,83,1
6/16/21 18:00,,78,7,0,84,6,30,4,83,73,78,12,83,1
6/16/21 19:00,,78,7,0,84,6,30,4,83,73,78,12,83,1
6/16/21 20:00,,76,6,0,88,6,30,7,81,73,76,11,81,1
6/16/21 21:00,,76,6,0,88,6,30,7,81,73,76,11,81,1
6/16/21 22:00,,76,6,0,88,6,30,7,81,73,76,11,81,1
6/16/21 23:00,,75,4,0,90,6,30,11,80,72,75,7,80,1
6/17/21 0:00,,75,4,0,90,6,30,11,80,72,75,7,80,1
6/17/21 1:00,,75,4,0,90,6,30,11,80,72,75,7,80,1
6/17/21 2:00,,82,4,0,72,6,30,14,86,71,82,5,86,7
6/17/21 3:00,,82,4,0,72,6,30,14,86,71,82,5,86,7
6/17/21 4:00,,82,4,0,72,6,30,14,86,71,82,5,86,7
6/17/21 5:00,,89,5,0,53,6,30,43,95,69,89,6,95,8
6/17/21 6:00,,89,5,0,53,6,30,43,95,69,89,6,95,8
6/17/21 7:00,,89,5,0,53,6,30,43,95,69,89,6,95,8
6/17/21 8:00,,92,7,0,49,6,30,54,98,69,92,9,98,8
6/17/21 9:00,,92,7,0,49,6,30,54,98,69,92,9,98,8
6/17/21 10:00,,92,7,0,49,6,30,54,98,69,92,9,98,8
6/17/21 11:00,,88,11,0,58,6,30,36,94,71,88,14,94,8
6/17/21 12:00,,88,11,0,58,6,30,36,94,71,88,14,94,8
6/17/21 13:00,,88,11,0,58,6,30,36,94,71,88,14,94,8
6/17/21 14:00,,82,11,0,71,6,30,16,88,72,82,17,88,1
6/17/21 15:00,,82,11,0,71,6,30,16,88,72,82,17,88,1
6/17/21 16:00,,82,11,0,71,6,30,16,88,72,82,17,88,1
6/17/21 17:00,,79,9,0,81,6,30,18,85,73,79,14,85,1
6/17/21 18:00,,79,9,0,81,6,30,18,85,73,79,14,85,1
6/17/21 19:00,,79,9,0,81,6,30,18,85,73,79,14,85,1
6/17/21 20:00,,77,5,0,84,6,30,12,82,72,77,9,82,1
6/17/21 21:00,,77,5,0,84,6,30,12,82,72,77,9,82,1
6/17/21 22:00,,77,5,0,84,6,30,12,82,72,77,9,82,1
6/17/21 23:00,,76,2,0,83,6,30,10,80,71,76,5,80,1
6/18/21 0:00,,76,2,0,83,6,30,10,80,71,76,5,80,1
6/18/21 1:00,,76,2,0,83,6,30,10,80,71,76,5,80,1
6/18/21 2:00,,82,2,0,64,6,30,8,86,68,82,2,86,7
6/18/21 3:00,,82,2,0,64,6,30,8,86,68,82,2,86,7
6/18/21 4:00,,82,2,0,64,6,30,8,86,68,82,2,86,7
6/18/21 5:00,,89,4,0,49,6,30,11,93,67,89,4,93,8
6/18/21 6:00,,89,4,0,49,6,30,11,93,67,89,4,93,8
6/18/21 7:00,,89,4,0,49,6,30,11,93,67,89,4,93,8
6/18/21 8:00,,91,9,0,46,6,30,11,95,67,91,11,95,8
6/18/21 9:00,,91,9,0,46,6,30,11,95,67,91,11,95,8
6/18/21 10:00,,91,9,0,46,6,30,11,95,67,91,11,95,8
6/18/21 11:00,,87,12,0,53,6,30,3,91,67,87,15,91,8
6/18/21 12:00,,87,12,0,53,6,30,3,91,67,87,15,91,8
6/18/21 13:00,,87,12,0,53,6,30,3,91,67,87,15,91,8
6/18/21 14:00,,81,9,0,66,6,30,0,84,68,81,15,84,1
6/18/21 15:00,,81,9,0,66,6,30,0,84,68,81,15,84,1
6/18/21 16:00,,81,9,0,66,6,30,0,84,68,81,15,84,1
6/18/21 17:00,,77,7,0,74,6,30,0,80,68,77,14,80,1
6/18/21 18:00,,77,7,0,74,6,30,0,80,68,77,14,80,1
6/18/21 19:00,,77,7,0,74,6,30,0,80,68,77,14,80,1
6/18/21 20:00,,74,6,0,79,6,30,2,78,68,74,12,78,1
6/18/21 21:00,,74,6,0,79,6,30,2,78,68,74,12,78,1
6/18/21 22:00,,74,6,0,79,6,30,2,78,68,74,12,78,1
6/18/21 23:00,,73,4,0,83,6,30,7,77,67,73,9,77,1
6/19/21 0:00,,73,4,0,83,6,30,7,77,67,73,9,77,1
6/19/21 1:00,,73,4,0,83,6,30,7,77,67,73,9,77,1
6/19/21 2:00,,80,4,0,66,6,30,5,83,67,80,5,83,7
6/19/21 3:00,,80,4,0,66,6,30,5,83,67,80,5,83,7
6/19/21 4:00,,80,4,0,66,6,30,5,83,67,80,5,83,7
6/19/21 5:00,,89,5,0,47,6,30,3,93,66,89,5,93,8
6/19/21 6:00,,89,5,0,47,6,30,3,93,66,89,5,93,8
6/19/21 7:00,,89,5,0,47,6,30,3,93,66,89,5,93,8
6/19/21 8:00,,93,7,0,39,6,30,12,97,65,93,8,97,8
6/19/21 9:00,,93,7,0,39,6,30,12,97,65,93,8,97,8
6/19/21 10:00,,93,7,0,39,6,30,12,97,65,93,8,97,8
6/19/21 11:00,,88,11,0,49,6,30,8,92,67,88,15,92,8
6/19/21 12:00,,88,11,0,49,6,30,8,92,67,88,15,92,8
6/19/21 13:00,,88,11,0,49,6,30,8,92,67,88,15,92,8
6/19/21 14:00,,81,9,0,66,6,30,3,84,68,81,15,84,1
6/19/21 15:00,,81,9,0,66,6,30,3,84,68,81,15,84,1
6/19/21 16:00,,81,9,0,66,6,30,3,84,68,81,15,84,1
6/19/21 17:00,,78,7,0,75,6,30,4,81,69,78,13,81,1
6/19/21 18:00,,78,7,0,75,6,30,4,81,69,78,13,81,1
6/19/21 19:00,,78,7,0,75,6,30,4,81,69,78,13,81,1
6/19/21 20:00,,76,5,0,81,6,30,4,79,69,76,11,79,1
6/19/21 21:00,,76,5,0,81,6,30,4,79,69,76,11,79,1
6/19/21 22:00,,76,5,0,81,6,30,4,79,69,76,11,79,1
