date_time,North Central,tempF,windspeedMiles,precipMM,humidity,visibilityMiles,pressureInches,cloudcover,HeatIndexF,DewPointF,WindChillF,WindGustMiles,FeelsLikeF,uvIndex
6/14/21 15:00,,90,6,0,59,6,30,13,98,73,90,8,98,1
6/14/21 16:00,,90,6,0,59,6,30,13,98,73,90,8,98,1
6/14/21 17:00,,86,4,0,65,6,30,16,93,73,86,7,93,1
6/14/21 18:00,,86,4,0,65,6,30,16,93,73,86,7,93,1
6/14/21 19:00,,86,4,0,65,6,30,16,93,73,86,7,93,1
6/14/21 20:00,,83,3,0,70,6,30,14,89,73,83,5,89,1
6/14/21 21:00,,83,3,0,70,6,30,14,89,73,83,5,89,1
6/14/21 22:00,,83,3,0,70,6,30,14,89,73,83,5,89,1
6/14/21 23:00,,84,3,0,75,6,30,4,92,75,84,4,92,1
6/15/21 0:00,,84,3,0,75,6,30,4,92,75,84,4,92,1
6/15/21 1:00,,84,3,0,75,6,30,4,92,75,84,4,92,1
6/15/21 2:00,,87,5,0,65,6,30,2,96,74,87,5,96,8
6/15/21 3:00,,87,5,0,65,6,30,2,96,74,87,5,96,8
6/15/21 4:00,,87,5,0,65,6,30,2,96,74,87,5,96,8
6/15/21 5:00,,93,5,0,49,6,30,8,100,71,93,6,100,8
6/15/21 6:00,,93,5,0,49,6,30,8,100,71,93,6,100,8
6/15/21 7:00,,93,5,0,49,6,30,8,100,71,93,6,100,8
6/15/21 8:00,,97,6,0,38,6,30,18,103,67,97,6,103,9
6/15/21 9:00,,97,6,0,38,6,30,18,103,67,97,6,103,9
6/15/21 10:00,,97,6,0,38,6,30,18,103,67,97,6,103,9
6/15/21 11:00,,95,7,0,44,5,30,26,102,69,95,8,102,8
6/15/21 12:00,,95,7,0,44,5,30,26,102,69,95,8,102,8
6/15/21 13:00,,95,7,0,44,5,30,26,102,69,95,8,102,8
6/15/21 14:00,,89,6,0,57,6,30,22,97,72,89,8,97,1
6/15/21 15:00,,89,6,0,57,6,30,22,97,72,89,8,97,1
6/15/21 16:00,,89,6,0,57,6,30,22,97,72,89,8,97,1
6/15/21 17:00,,86,5,0,66,6,30,14,93,73,86,6,93,1
6/15/21 18:00,,86,5,0,66,6,30,14,93,73,86,6,93,1
6/15/21 19:00,,86,5,0,66,6,30,14,93,73,86,6,93,1
6/15/21 20:00,,83,3,0,68,6,30,12,89,72,83,4,89,1
6/15/21 21:00,,83,3,0,68,6,30,12,89,72,83,4,89,1
6/15/21 22:00,,83,3,0,68,6,30,12,89,72,83,4,89,1
6/15/21 23:00,,82,1,0,69,6,30,13,87,71,82,2,87,1
6/16/21 0:00,,82,1,0,69,6,30,13,87,71,82,2,87,1
6/16/21 1:00,,82,1,0,69,6,30,13,87,71,82,2,87,1
6/16/21 2:00,,86,3,0,61,6,30,10,92,71,86,3,92,8
6/16/21 3:00,,86,3,0,61,6,30,10,92,71,86,3,92,8
6/16/21 4:00,,86,3,0,61,6,30,10,92,71,86,3,92,8
6/16/21 5:00,,92,3,0.1,50,6,30,58,100,71,92,3,100,8
6/16/21 6:00,,92,3,0.1,50,6,30,58,100,71,92,3,100,8
6/16/21 7:00,,92,3,0.1,50,6,30,58,100,71,92,3,100,8
6/16/21 8:00,,97,4,0.1,41,6,30,43,105,69,97,4,105,8
6/16/21 9:00,,97,4,0.1,41,6,30,43,105,69,97,4,105,8
6/16/21 10:00,,97,4,0.1,41,6,30,43,105,69,97,4,105,8
6/16/21 11:00,,95,5,0,45,6,30,26,103,70,95,6,103,9
6/16/21 12:00,,95,5,0,45,6,30,26,103,70,95,6,103,9
6/16/21 13:00,,95,5,0,45,6,30,26,103,70,95,6,103,9
6/16/21 14:00,,90,6,0,55,6,30,19,97,71,90,8,97,1
6/16/21 15:00,,90,6,0,55,6,30,19,97,71,90,8,97,1
6/16/21 16:00,,90,6,0,55,6,30,19,97,71,90,8,97,1
6/16/21 17:00,,86,6,0,63,6,30,8,93,72,86,9,93,1
6/16/21 18:00,,86,6,0,63,6,30,8,93,72,86,9,93,1
6/16/21 19:00,,86,6,0,63,6,30,8,93,72,86,9,93,1
6/16/21 20:00,,83,6,0,72,6,30,6,89,73,83,9,89,1
6/16/21 21:00,,83,6,0,72,6,30,6,89,73,83,9,89,1
6/16/21 22:00,,83,6,0,72,6,30,6,89,73,83,9,89,1
6/16/21 23:00,,80,6,0,77,6,30,5,85,72,80,8,85,1
6/17/21 0:00,,80,6,0,77,6,30,5,85,72,80,8,85,1
6/17/21 1:00,,80,6,0,77,6,30,5,85,72,80,8,85,1
6/17/21 2:00,,84,7,0,68,6,30,7,90,72,84,9,90,7
6/17/21 3:00,,84,7,0,68,6,30,7,90,72,84,9,90,7
6/17/21 4:00,,84,7,0,68,6,30,7,90,72,84,9,90,7
6/17/21 5:00,,90,7,0,54,5,30,32,98,71,90,8,98,8
6/17/21 6:00,,90,7,0,54,5,30,32,98,71,90,8,98,8
6/17/21 7:00,,90,7,0,54,5,30,32,98,71,90,8,98,8
6/17/21 8:00,,95,8,0,45,5,30,45,103,70,95,9,103,7
6/17/21 9:00,,95,8,0,45,5,30,45,103,70,95,9,103,7
6/17/21 10:00,,95,8,0,45,5,30,45,103,70,95,9,103,7
6/17/21 11:00,,92,11,0,52,6,30,27,99,71,92,13,99,7
6/17/21 12:00,,92,11,0,52,6,30,27,99,71,92,13,99,7
6/17/21 13:00,,92,11,0,52,6,30,27,99,71,92,13,99,7
6/17/21 14:00,,85,12,0,64,6,30,11,92,72,85,15,92,1
6/17/21 15:00,,85,12,0,64,6,30,11,92,72,85,15,92,1
6/17/21 16:00,,85,12,0,64,6,30,11,92,72,85,15,92,1
6/17/21 17:00,,82,10,0,66,6,30,5,86,69,82,14,86,1
6/17/21 18:00,,82,10,0,66,6,30,5,86,69,82,14,86,1
6/17/21 19:00,,82,10,0,66,6,30,5,86,69,82,14,86,1
6/17/21 20:00,,79,9,0.1,65,6,30,53,82,66,79,13,82,1
6/17/21 21:00,,79,9,0.1,65,6,30,53,82,66,79,13,82,1
6/17/21 22:00,,79,9,0.1,65,6,30,53,82,66,79,13,82,1
6/17/21 23:00,,76,7,0.2,68,6,30,77,79,65,76,10,79,1
6/18/21 0:00,,76,7,0.2,68,6,30,77,79,65,76,10,79,1
6/18/21 1:00,,76,7,0.2,68,6,30,77,79,65,76,10,79,1
6/18/21 2:00,,81,8,0.1,57,6,30,29,83,64,81,9,83,6
6/18/21 3:00,,81,8,0.1,57,6,30,29,83,64,81,9,83,6
6/18/21 4:00,,81,8,0.1,57,6,30,29,83,64,81,9,83,6
6/18/21 5:00,,88,9,0.1,43,6,30,60,90,63,88,11,90,8
6/18/21 6:00,,88,9,0.1,43,6,30,60,90,63,88,11,90,8
6/18/21 7:00,,88,9,0.1,43,6,30,60,90,63,88,11,90,8
6/18/21 8:00,,92,10,0,38,6,30,35,94,63,92,11,94,7
6/18/21 9:00,,92,10,0,38,6,30,35,94,63,92,11,94,7
6/18/21 10:00,,92,10,0,38,6,30,35,94,63,92,11,94,7
6/18/21 11:00,,90,10,0,43,6,30,9,92,64,90,12,92,8
6/18/21 12:00,,90,10,0,43,6,30,9,92,64,90,12,92,8
6/18/21 13:00,,90,10,0,43,6,30,9,92,64,90,12,92,8
6/18/21 14:00,,86,8,0,54,6,30,9,89,67,86,9,89,1
6/18/21 15:00,,86,8,0,54,6,30,9,89,67,86,9,89,1
6/18/21 16:00,,86,8,0,54,6,30,9,89,67,86,9,89,1
6/18/21 17:00,,83,6,0,61,6,30,8,86,68,83,8,86,1
6/18/21 18:00,,83,6,0,61,6,30,8,86,68,83,8,86,1
6/18/21 19:00,,83,6,0,61,6,30,8,86,68,83,8,86,1
6/18/21 20:00,,80,5,0,66,6,30,8,83,68,80,8,83,1
6/18/21 21:00,,80,5,0,66,6,30,8,83,68,80,8,83,1
6/18/21 22:00,,80,5,0,66,6,30,8,83,68,80,8,83,1
6/18/21 23:00,,77,7,0,77,6,30,13,81,69,77,10,81,1
6/19/21 0:00,,77,7,0,77,6,30,13,81,69,77,10,81,1
6/19/21 1:00,,77,7,0,77,6,30,13,81,69,77,10,81,1
6/19/21 2:00,,79,9,0,73,6,30,25,82,69,79,10,82,7
6/19/21 3:00,,79,9,0,73,6,30,25,82,69,79,10,82,7
6/19/21 4:00,,79,9,0,73,6,30,25,82,69,79,10,82,7
6/19/21 5:00,,86,8,0,58,6,30,39,91,69,86,9,91,7
6/19/21 6:00,,86,8,0,58,6,30,39,91,69,86,9,91,7
6/19/21 7:00,,86,8,0,58,6,30,39,91,69,86,9,91,7
6/19/21 8:00,,92,9,0,48,6,30,29,98,69,92,10,98,8
6/19/21 9:00,,92,9,0,48,6,30,29,98,69,92,10,98,8
6/19/21 10:00,,92,9,0,48,6,30,29,98,69,92,10,98,8
6/19/21 11:00,,89,9,0.1,54,5,30,54,96,70,89,11,96,8
6/19/21 12:00,,89,9,0.1,54,5,30,54,96,70,89,11,96,8
6/19/21 13:00,,89,9,0.1,54,5,30,54,96,70,89,11,96,8
6/19/21 14:00,,84,7,0.8,67,6,30,80,90,72,84,9,90,1
6/19/21 15:00,,84,7,0.8,67,6,30,80,90,72,84,9,90,1
6/19/21 16:00,,84,7,0.8,67,6,30,80,90,72,84,9,90,1
6/19/21 17:00,,79,7,1.4,65,5,30,88,82,66,79,11,82,1
6/19/21 18:00,,79,7,1.4,65,5,30,88,82,66,79,11,82,1
6/19/21 19:00,,79,7,1.4,65,5,30,88,82,66,79,11,82,1
6/19/21 20:00,,75,7,0.8,68,5,30,86,78,64,75,10,78,1
6/19/21 21:00,,75,7,0.8,68,5,30,86,78,64,75,10,78,1
6/19/21 22:00,,75,7,0.8,68,5,30,86,78,64,75,10,78,1
